goal,step0,step1,label,llama2,mistral,orca-mini:7b,qwen:7b
Read Kindle Books on Android,Select the book you want to read.,Tap Library in the menu at the bottom of the screen.,B,A,A,A,A
Use a Green Screen,Install Shotcut.,Open Shotcut.,A,A,A,A,A
Do Victory Rolls,Secure the whole style in place with a final coat of hairspray.,Curl the loose hair with a hair dryer and round brush.,B,A,B,B,B
Clean a Wool Hat,Place the hat in the water.,Massage the hat in the water for a few minutes.,A,A,A,A,A
Buy from eBay With eBay Gift Cards,"Go to eBay.com, click on ""Sign in"" and log in using your eBay user name and password.",Locate the item you would like to purchase on eBay.,A,A,A,A,A
Convert Meters to Millimeters,"Write the number of meters, adding a decimal to the right of the last digit.",Move your pencil three places to the left.,A,A,A,A,A
Make a Drip Irrigator from a Plastic Bottle,Get a plastic bottle.,Poke holes in the sides of the bottle.,A,A,A,A,A
Make a Pumpkin Spice Latte,"Pour the strong, brewed coffee into a large, slow cooker.",Add the milk and heavy whipping cream.,A,A,A,A,A
Choose a Bicycle Helmet,Select a helmet that fits.,Check that the helmet sits down about halfway on your forehead.,A,A,A,A,A
Thin Paint,Add more water or a thinning agent if desired.,Begin work on your painting project.,A,B,A,A,B
Make a Good Cup of Tea,Plug in the kettle and turn it on.,Bring the water to a boil.,A,A,A,B,A
Faux Paint,Wipe and vacuum the surface.,Prime the surface.,A,A,B,A,A
Under Braid,Secure the braid with an elastic when it reaches the back of your crown.,Gather a section of hair from your nape and begin to braid it.,B,A,A,A,A
Make a Clay Cat,Make front legs.,Add a tail on the back at the bottom.,A,A,A,A,A
Save Money on Batteries,"Remove all of the cells for which you need to measure the voltage, from the device that is no longer working.",Measure the direct current voltage or DCV of the su,A,A,A,A,A
Sell Your Bird,Meet the buyer in person to ensure that they are able to look after the bird.,Ask the buyer to sign a contract that includes your wishes for the bird.,A,A,A,B,A
Remove an Iron on Transfer from Clothes Using an Iron,Remove any glue residue.,Wash the garment by itself.,A,A,A,A,A
Make Your Own Self Tanner,Put the tea bags in the water and wait for them to steep.,Heat up the water.,B,B,B,A,A
Help a Female Child Provide a Urine Sample,Wash your hands with sanitizer.,Clean your infant's genitalia.,A,A,A,A,A
Add Color to Beeswax,Prepare your colors.,Adjust your colors.,A,A,A,A,A
Find Your Singing Range,"Play descending notes, matching your pitch each time.","Sing the note, matching your pitch carefully.",B,A,B,A,A
Install an Outdoor Motion Sensor Light,Turn off the power to the light.,Unscrew the existing light.,A,A,A,A,A
Reuse False Eyelashes,Pull the lash slowly to the inner corner to remove.,Peel up the lash at the outer corner.,B,A,B,A,A
Download ROBLOX,Tap the Search icon.,"Open the App Store {""smallUrl"":""https:\/\/www.wikihow.com\/images\/5\/55\/Iphoneappstoreicon.png"",""bigUrl"":""https:\/\/www.wikihow.com\/images\/5\/55\/Iphoneappstoreicon.png"",""smallWidth"":460,""smallHeight"":460,""bigWidth"":760,""bigHeight"":760,""licensing"":""<div class=\""mw-parser-output\""><p>I edited this screenshot of an iOS icon.\n<\/p><p>License: <a rel=\""nofollow\"" class=\""external text\"" href=\""http:\/\/en.wikipedia.org\/wiki\/Fair_use\"">Fair Use<\/a><br>\n<\/p><\/div>""} on your iPhone or iPad.",B,A,A,A,A
Clean a Varnish Brush,Wash the brush with dish soap under warm running water.,Rinse the brush until the water runs clear.,A,A,A,A,A
Clean a Vacuum Thermosflask That Has Stains at the Bottom,Add a few spoonfuls of salt.,Fill your flask with ice.,B,A,A,A,A
Apply AirStone,"Allow at least six, and up to 48 hours, of drying time.",Wipe up excess adhesive immediately with a damp cloth.,B,A,B,A,A
Use Ratchet Straps,Open up the ratchet and pull the strap loose.,Pull and hold the release tab to close the ratchet again.,A,B,A,A,A
Change the Executor of a Family Trust,Talk to your beneficiaries.,Evaluate your trust documents.,B,B,A,A,A
Set Up a Home Theater System,Connect your video input to your receiver.,Test and troubleshoot your video connection before moving on to the speakers.,A,A,A,B,A
Make Loom Bands,Repeat Step 2.,Slide the pencil under the front of the bottom band on the second tine.,B,A,B,A,A
Draw a Model of the Digestive System,Outline your model.,Color each organ a different color.,A,A,A,A,A
Brighten Your Skin,Apply a thick layer of the mixture to your skin.,Add other ingredients to your cucumber paste.,B,A,B,A,B
Clean Carrara Marble,Make a cleaning solution with mild dish soap and water.,Wipe down the marble with your soap solution.,A,A,A,A,A
Get eBay Bucks,Wait for your Bucks Certificate to arrive.,Earn at least $5 in eBay Bucks in the calendar quarter.,B,B,A,A,A
Attach a Garden Hose to a Kitchen Faucet,Make sure the hose gasket is in place the hose has a rubber or vinyl gasket in it to prevents leaks.,Screw on the hose.,A,A,A,A,A
Organize Craft Supplies,Finished.,Label with tape or paper what is in each container.,B,U,A,B,A
Apply for an SBI Credit Card,Provide the necessary information.,Agree to the terms and conditions.,A,A,A,A,A
Buy Books on Google Play,Go to the Books section.,Visit Google Play.,B,A,T,A,B
Use Amazon on Demand,Navigate to the Amazon Video on Demand Store.,Select a movie or TV show to watch.,A,A,A,B,A
Straighten Curly and Thick Hair,Purchase the right straightener for your hair type.,Turn on your straightener and select the right heat setting.,A,B,A,B,A
Rip a Karaoke CD Using Golden Hawk CDRWin,CDRWIN will start ripping your selected tracks to the selected location and in selected format.,Now choose the tracks you want to rip and click on start button below.,B,A,A,B,B
Apply a Tourniquet,Use a stick or rod for tightening.,Apply the tourniquet between the heart and injury.,B,A,B,B,A
Sew a Reversible Tote Bag,"Turn ""one"" pouch right side out.",Add pockets.,A,A,A,A,A
Select a Garter Belt,Find out the return policy before you buy anything.,Keep your receipt and leave the tags on.,A,A,A,A,A
Gently Bleach Your Skin Naturally,Apply the lemon juice to your face.,Wash if off and repeat daily.,A,B,A,A,A
Paint a Textured Ceiling,Tape around all the wall edges with painters tape if you are painting the ceiling a color that differs from the walls.,"Vacuum the ceiling using a hand-held vacuum cleaner with a soft-bristled attachment, being careful not to damage the texture.",B,B,A,A,A
Clean Air Conditioner Coils,Use the hose to rinse the cleaner off of outdoor units.,Reassemble the unit.,A,A,A,A,A
Play Futsal,Set a timer for 20 minutes.,Choose 5 players per team.,B,A,B,A,A
Inspect Parts Using Dye Penetrant,"Remove excess penetrant using a clean, dry, lint free cloth.",Apply the penetrant to the surface being inspected.,B,A,B,A,B
Dye Eggs for Easter,Cover with glitter paint.,Let dry.,A,B,A,B,A
Make Slime,Put the mixture in the refrigerator.,Remove the mixture from the refrigerator.,A,A,A,A,B
Buoy an Anchor,Attach the buoy to the line with a large eye splice.,Cut polypropylene cord for the buoy.,B,A,B,B,B
Graph a Quadratic Equation,Draw the parabola's axis (optional).,Plot your vertex.,B,B,A,B,A
Obtain a Cypriot Citizenship,Apply for citizenship if you've lived in Cyprus for 7 years.,Choose citizenship by investment if you can invest.,A,A,A,A,A
Clean a Bathtub,Scrub the grout with bleach or a cleaning product.,Apply the cleaner.,B,A,B,B,B
Play Heads Up 7 Up,"Have your pickers say, Heads up, seven up!  When the pickers say the name of the game in unison, the other students will open their eyes and lift ",Have the pickers choose one student each.,B,A,A,A,A
Weave a Willow Basket,Add weavers to the sides of the basket.,Weave the sides.,A,A,B,B,B
Remove Braids from Hair,Repeat the process until all of the braids are removed.,Detangle the lock of hair.,B,B,T,B,A
Test a Refrigerator PTC Relay,Order a replacement relay if the resistance doesn't read OL or 0-1 ohms.,Flip the relay upside-down to see if the resistance changes to 0-1 ohms.,B,A,B,A,A
Replace Awning Fabric,Remove the bolt and leg from the front end of the awning roller tube.,Reinsert the bolt and cover the bracket with tape.,A,A,A,A,A
Sew Pants Pockets,Cut along the edges of the paper pattern.,Pin the paper pattern piece onto your fabric.,B,B,A,A,A
Soothe Bites and Stings with Vodka,Allow the vodka to air-dry on your skin.,Squirt the vodka directly on your skin at dusk.,B,A,A,A,A
Breed Molly Fish,Remove the female from the aquarium before birthing begins.,Allow the fish to mate with one another.,B,A,A,A,A
Report a Bad Airbnb Stay,Evaluate and submit your review.,Write the text of your review.,B,B,B,A,A
Play Netball,Form two teams of 7 players.,Assign positions to the players.,A,B,A,A,A
Marble a Bottle,Pour 2 to 3 colors of acrylic craft paint into the bottle.,Clean a glass bottle with soap and water.,B,B,B,A,A
Do the Perfect Manicure or Pedicure,Add a top coat.,Allow nails to dry completely.,A,B,B,B,B
Surf,Paddle to your spot.,Identify a target spot.,B,A,B,A,B
Clean a Plastic Water Tank,Make a cleaning mixture.,Scrub the inside of the tank.,A,B,A,A,A
Relieve a Toothache and Bleeding Gums,Try crunched up paracetamol.,See the dentist as soon as possible if the bleeding gets any worse or if the toothache lasts more than a couple of days and the pain does not seem to be improving.,A,A,A,A,A
Cut Fabric on the Bias,Lay your fabric out in a single layer.,Place the pattern pieces on the fabric so the biases are perpendicular.,A,A,A,B,A
Make a Mastectomy Bra from a Regular Bra,Choose some fabric.,Place the fabric on a table.,A,B,A,B,A
Make Orange Julius,Enjoy!,"Add ice cubes one by one, until ice cubes are completely dissolved and drink is frothy.",B,B,A,B,A
Glaze a Cabinet,Cover the floors and other nearby surfaces with drop-cloths.,Tape off the walls around the edges of the cabinets with painter's tape.,A,A,B,A,A
Graph Polar Equations,Understand how polar equations work.,Make a table with values of the angle and radius.,A,A,A,A,A
Get Free Checkbook Software,Set up an account for initial use.,Talk to your bank about syncing your account information.,A,A,A,A,A
Be Ready and Comfortable Kissing a Guy,Start by cuddling.,Tell yourself that everything will be okay.,B,A,B,A,A
Make Matcha and Chocolate Swirl Cake,Serve with milk or unsweetened tea.,Bake in 350F or 180C degree in a preheated oven for 30 ,B,B,A,B,B
Wash Lacrosse Gear,Machine wash the uniform.,Tumble dry your uniform.,A,A,A,A,A
Apply for a US Visa,Read the information.,Enter the requested information.,A,A,A,A,A
Use a Vegetable Steamer,Fill the basket(s) with fresh vegetables.,Turn on your steamer and set the timer.,A,A,A,B,B
Take Apart a Track Bicycle,Optional: This is a good opportunity to change your brake pads and clean your brakes.,Unscrew the bolt that is driven into the brake through the fork.,B,B,B,B,B
Pan for Gold,Shake the pan vigorously several times.,Fill your pan so it is  full of gra,B,A,A,A,A
Use the Hue Tool on MediBang Paint Pro,"Press Ctrl+U on your keyboard to access the hue, brightness, and saturation menu on MediBang.",Move the slider on the hue bar.,A,A,A,T,A
Sue for Stock Broker Fraud,Complete other required forms.,Submit your application packet.,A,A,A,A,A
Enter a Dog in an American Bully Kennel Club (ABKC) Show,Find an event.,Look at the specific rules for each event.,A,A,A,A,A
Draw Harry Styles,Detail further with eye-balls and teeth.,"Make the shapes of the eyes, eyebrows, nose and a smiling mouth.",B,A,B,A,B
Store a Kayak,Attach the storage unit to the wall.,Buy a rope or bracket-style storage system.,B,A,B,A,B
Play the Trombone,Grip the movable part of the slide gently with your right hand.,Hold the trombone with your left hand by gripping the screw-joint.,B,A,B,A,A
Curl a Pixie Cut,Clip the roll of hair with an alligator clip.,Wrap the section of hair around your thumb and index finger.,B,B,B,A,A
Make a Cape,Make the casing.,Cut a piece of ribbon that's just a little longer than the casing.,A,A,A,A,A
Paint Vaulted Ceilings,Choose a color scheme for your ceiling.,Purchase a can of 2-in-1 interior house paint.,A,A,A,A,A
Verify Funds Before Cashing a Check,Find the banks contact inform,"Call the payers bank, or visit a branch in p",A,A,A,B,A
Take Action Against the Breach of a Purchase and Sale Agreement,Await the verdict.,Make closing arguments.,B,A,B,A,A
Cut Molding,Mark the length of the wall on the molding boards.,Visit a local hardware store and find a molding you like.,B,A,A,A,A
Clean Skechers Shoes,Wash your shoes on a cold cycle with laundry detergent.,Remove the laces and put the shoes in a delicates bag.,B,B,A,A,B
Install Steam on Linux,Type and run sudo apt install snapd.,Open your computer's Terminal window.,B,B,B,A,B
Clean Kale,Swish your kale around.,Submerge your kale in the water.,B,B,A,A,A
Assemble a Bicycle,Make sure each tire is mounted correctly on its rim.,Inflate the tires.,A,A,A,A,A
Deter House Wrens from Nestboxes,Make or purchase a Wren Guard.,Watch the nestbox.,A,B,A,A,A
Make a Match Box Bomb,Cut off all of the match heads.,Pour all the matches out of the box.,B,A,B,A,A
Grind Metal,Hold the grinding disc as level as you can to the piece of metal.,Grind along the length of the weld.,A,B,A,A,A
Perform a Titration,Drop a small amount of color indicator into the beaker.,Measure out a precise amount of analyte in a clean beaker or flask.,B,A,B,B,A
Remove a Woodruff Key,Fit the arms.,Tighten the forcing screw.,A,A,A,A,A
Report Phone Call Scams,Visit the FTC's Complaint Assistant online.,Choose the correct category and sub-category.,A,A,A,A,A
Download Full Albums,Type in an album's name.,Tap the search bar.,B,A,A,A,A
Lace Timberlands,Use the criss-cross or straight style but skip the fourth hole.,Thread the laces through the fifth hole.,A,A,A,A,A
Make a Waterbomb,Repeat the last step on the other side.,Fold the top flaps into the pockets.,B,A,A,B,A
Write a Confirmation Letter,Send your letter to the recipient promptly.,Sign the letter using blue or black ink.,B,A,A,A,A
Make Paper Cup iPhone Speakers,Cut the bottom off of each cup using a craft knife or box cutter.,Find two paper cups that are the same size.,B,A,A,A,A
Use Fashion Nova App on Android,Scroll down and view the featured items and collections.,Open the Fashion Nova app on your Android.,B,B,B,B,B
Extract Your DNA,Deliver the sample to a lab.,Collect your DNA.,B,A,B,B,A
Wet Sand Wood,Soak the sandpaper in water overnight.,Select high-grit wet sandpaper.,B,A,A,B,A
Make Spider Repellent at Home,Add dish soap and shake.,Combine essential oils and water.,B,A,B,A,A
Clean a Knife,Dry the knife.,Soak the knife for a minute or two if food is stuck on.,B,A,A,A,A
Play the Jew's Harp,Curl your lips.,Position it in your mouth.,B,B,A,A,A
Paint Fabric Shoes,Let the paint dry.,Paint your shoes following your design.,B,A,B,A,A
Stretch Cotton Pants Legs,Wait until your pants are dirty to wash them.,Wash cotton pants in a washing machine with cold water on a gentle cycle.,A,A,A,A,A
Obtain a CMS Certification Number,Complete the relevant form.,Read through the form carefully.,B,B,B,B,B
Weld Galvanized Steel,"Get a welding mask, respirator, welding gloves, and apron.",Use a fume extractor or set up a fan directly next to your welding site.,A,B,1,A,A
Make Chestnut Stuffing,Remove the stuffing when it is brown on top.,Cover and bake.,B,B,B,A,A
Get Into Harvard University,Meet for an interview if you are selected to do so.,Wait for a decision.,A,A,B,B,B
Infuse Vodka with Flavor,Strain the vodka.,Sample and enjoy!,A,A,A,A,A
File for Divorce in Oklahoma,Request a temporary order if necessary.,Serve your spouse with your divorce petition and the summons.,B,A,A,A,B
Make a Pipe from a Soda Can,"Get a needle,  pin or other sharp object.",Make an thumb-sized indention on side of the can.,A,A,B,A,A
Backstitch,Position your needle at one end of the guideline.,Use the machine to stitch along the line about 0.51 in (1.3,A,A,A,A,A
Include References on a Resume,List your references and their relevant information.,"Under the heading, add a clear title.",B,B,A,A,A
Play the Lute,Pluck each string and check the pitch with an electric tuner.,Rotate the corresponding pegs to adjust any out-of-tune strings.,A,A,B,A,A
Obtain a Copy of Your Birth Certificate in Ohio,Fill out the application form.,Have payment ready.,A,A,B,A,A
Bypass a Water Softener,Turn the valve to the bypass position to shut off soft wa,Locate the bypass valve near the tubes running off the water softener.,B,A,B,A,B
Replace Laminate Flooring,Place transition strips at doorways and other openings.,Apply pressure to the flooring.,B,A,A,A,A
Make Oatmeal Play Clay,"Place all of the dry ingredients, except for the oats, into a mixing bowl.",Add the oil.,A,A,A,A,A
Gift Wrap a Chocolate Bar in Brown Paper and Lace,Done.,Finish with decorative elements.,B,A,A,A,A
Factory Reset a Nook,Press the Home button.,"On the Home menu, tap Settings.",A,B,A,B,A
Clean Vans,Remove any caked-on dirt outside.,Use dish detergent and warm water.,A,B,A,A,A
Sell Scrap Metal,Allow facility personnel to unload your vehicle.,Weigh your vehicle.,B,A,A,B,B
Make Face Whitening Mask,Spread the mask over your face.,Stir the ingredients with a spoon or fork.,B,A,B,A,B
Paint a Greenhouse with Poinsettias in Watercolor,"Gather your supplies; a basic set of tube watercolors, brushes, a palette or white plastic plate, a water container, table salt and a support for your paper.",Set up colors on the palette.,A,A,A,A,A
Dispute a Chargeback,Wait for the result.,Attach evidence.,B,A,A,B,A
Apply Diatomaceous Earth,Vacuum up the powder after it has been sitting for 24 to 48 hours.,Reapply the powder after 2 weeks to kill any remaining bugs.,A,A,A,A,A
Create MP3 Files from Wikipedia Articles Using Pediaphon,Pick the language of your choice.,Go to the Pediaphon website.,B,A,A,A,A
Download Karaoke Songs,Download an IDM(internet download manager) along with key or keygen or crack.,Now go to online karaoke websites like KaraFun to listen to your favorite song the moment you play a song the IDM shows a download symbol.,A,A,A,A,A
Make a Petticoat,Sew the bottom and middle tiers together using a 1/2-inch (1.3-cm) seam.,Fold the seam against the middle tier and topstitch it down.,A,A,A,A,A
Create a Battery from a Lemon,Squeeze the lemon without breaking its skin.,Gather your materials.,B,B,B,A,B
Download Songs from SoundCloud,Open the SoundCloud site.,Click the search bar.,A,A,A,A,A
Remove Hair Naturally,Sprinkle cornstarch or arrowroot powder over the area to be waxed.,Wash the area you want to wax and prepare it for waxing.,B,B,B,A,A
Give a Speech in Front of Your Class,Pause for 10 seconds before you start your speech.,Project your voice.,A,A,A,A,A
Fit Fascia Boards,Cut the boards to length you need using a circular saw.,Rip the tops of the fascia boards to match the slope of your roof.,A,A,B,A,A
Play the Oboe,Curve your hands into C-shapes around the body of the oboe.,Set your left hand on the upper keys and your right hand below it.,A,A,A,A,A
Get Universal Studios Tickets from Costco,Use the trip builder to search for theme park trips.,Pick a Universal Studios package.,A,A,A,A,A
Wear Finger Picks,Form the pick to your finger.,Place the pick on the end of your index finger.,B,A,B,B,A
Divorce in Arkansas,Receive a Summons from court.,File the Complaint for Divorce.,B,A,A,A,A
Use a Vertical Water Smoker,Use a chimney starter to light charcoal for the smoker.,Place the food you want to smoke on the grates in the food chamber.,A,A,A,A,A
Color Hair,"Apply the henna paste to clean, dry hair.",Read the instructions and mix up the henna paste.,B,B,B,A,A
Make a Paracord Combat Bracelet,Repeat the second part of the knot.,Continue this process.,A,A,A,A,A
Make a Model of the Earth,Trace the continents onto the ball.,Paint the land and water.,A,A,A,A,A
Draw a Pretzel,Complete the drawing.,"From the top line, close the image full circle, with the knot at the center.",B,A,B,A,A
Make a Triangle in Photoshop on PC or Mac,Select the pen tool.,Click on a point on the canvas where you want to start your triangle.,A,A,A,A,A
Make a Camera Copy Stand,Pack the rod in tightly.,Drill a hole the diameter of the wooden rod (one inch/2.5cm).,B,B,B,A,A
Make a Noodle Beverage Boat,Measure each side of your container and cut the noodle to fit each side.,"Thread the noodle parts over a long, sturdy string or rope.",A,A,A,A,A
Create a DIY Extreme Macro Tube,Cut a hole in the metal bottom of an empty Pringles can.,Glue the body cap onto the Pringles can with super glue.,A,A,A,A,A
Make a Christmas Bow,Fluff the loops on either side.,Finish the bow.,A,A,A,B,A
Wash a Wool Coat,Lay the coat flat to dry.,Roll the coat in a towel.,B,B,B,A,B
Join Two Pieces of Wood,Allow the glue to cure overnight.,Wipe away excess glue after 20 minutes.,B,A,A,A,B
Build Stencils,Choose your material.,Reinforce your stencil.,A,A,A,A,A
Make a Foam Rocket,Slide the triangles together at the slits to lock then together.,Slide the interlocked fins into the slits in the bottom of your rocket.,A,A,A,B,A
Make a FlowerFilled Tulle,Arrange the flowers on the skirt.,Glue the flowers in place.,A,A,A,A,A
Make Spa Water,"Add the water, cucumber, and ice to a pitcher For the spa water, youll need a pitcher that holds approximately 2-quarts (1",Allow the water mixture to sit for a couple of hours before serving.,A,A,A,A,A
Use a Kite Antenna in Amateur Radio,"Find a suitable flying site, check local laws and book the right weather.",Select some wire to use for the antenna and also decide how long the wire needs to be.,B,A,A,A,A
Search Google Books,"Enter any search term for a book within the ""Search Books"" section of the Google Books home page.",Review the list of books provided to you in the Google Books search results.,A,A,A,A,A
Unbind a Book,Lay the book down on the edge of a flat surface.,Apply pressure to the cover of the book.,A,A,A,A,A
Use a Vacuum Pump,Attach your gauges to the ports.,Open your manifold valves.,A,A,A,C,A
Write a Teleplay,Begin all acts with fade in.,Start with a title page.,B,A,A,T,B
