goal,step0,step1,label,llama2,mistral,orca-mini:7b,qwen:7b
Wire a Simple 120v Electrical Circuit,"Measure the distance from the electrical panel box to the location your new outlet will be installed, following the path you have selected, and trying to determine the actual distance the wire must run.",Feed the wires through the conduit from the receptacle box.,A,A,A,A,A
Sponge Paint With Kids,Cut the sponge with scissors along the lines that you drew.,"Get additional sponges to paint with, if desired.",A,A,A,A,A
Care For a Leather Jacket,Rub an art gum eraser over grime.,Clean suede with a specialized brush or a dry sponge.,B,A,A,A,A
Make a Sequin Letter,Hang the sequin letter (or series of letters that form a word).,Create a hanging loop.,B,B,B,B,B
Remove Stains from a Mattress,Vacuum off the baking soda using an upholstery attachment.,Let the baking soda sit for about 8 hours.,B,B,B,B,A
Make a Pirate Hat,Fold the bottoms of the paper up.,Add decorations to your finished pirate hat.,A,A,A,A,A
Curl Hair With Toilet Paper,Remove the toilet paper in the morning and apply hairspray.,Leave the toilet paper in overnight.,B,B,B,A,B
Do Fractions,Solve the equation as you normally would.,Make equivalent fractions so the denominators are the same.,B,A,B,A,B
Make a Slurpee,Blend on high until your drink is smooth.,"Add one cup of club soda, sugar, Kool-Aid mix, and cherry extract to a blender.",B,A,B,A,A
Make a Mermaid Shell Top,Fill the gaps in on the bra with more embellishments.,"Add some final touches, if desired.",A,A,A,A,A
Treat a Conscious Choking Adult or Child,"Look for the food or object to fall out of the mouth, with the help of gravity.",Use the heel of your other hand to firmly thump the infant on the middle of the back.,B,A,A,A,A
Get Red Wine out of Fabric Using Baking Soda and Vinegar,Check for any remnants and repeat if needed.,Vacuum or wash your fabric.,B,A,A,A,B
Apply for a Divorce in New York,Arrange service in all other situations.,Deliver the papers yourself in an uncontested divorce.,B,A,A,A,A
Remove Cactus Needles,Clean your clothes in a washing machine to remove leftover needles.,Pull out large cactus needles with a comb.,B,B,B,A,A
Do a Front Lunge Exercise,Repeat these motions on your left side.,Keep your weight on your front (right) heel.,B,A,A,A,A
Block a Call,Confirm the registration.,Enter the phone number you want to register.,B,B,A,A,B
Stretch Out Jeans,Lay the jeans on the floor or your bed.,Heat the jeans using a hair dryer on a medium setting.,A,B,A,B,A
Write a Credit Card Dispute Letter,Begin with the date and addresses at the top.,Include a salutation.,A,A,A,B,A
Shrink Socks,Transfer socks from boiling water into the dryer.,Dry boiled socks using the hottest dryer setting possible.,A,A,A,B,A
Use a Circular Saw,Unplug the saw when youre done usi,Release the trigger to stop the blade after each cut.,B,B,A,A,A
Arrange a Window Box,Choose a color scheme.,Fill the box evenly throughout.,A,A,A,T,A
Make a Tiny Vampire Pumpkin,Transfer your measurements to the pumpkin using the pencil.,Measure the vampire teeth.,B,A,B,A,A
Remove Wax from a Glass Table Top,Heat up the wax.,Remove the wax.,A,A,A,A,A
Change Your Name in New Mexico,Determine where you will file your name change petition.,Verify your eligibility to file to change your name.,B,B,B,A,A
Obtain a Copy of Your Birth Certificate in Texas,Receive copies of your birth certificate.,Send in the application or take it to the designated location along with the required fee.,B,B,B,B,B
Cook Stuffed Peppers,"Bake the peppers for 30-40 minutes, until they're soft.",Stuff the beef mixture into the peppers.,B,B,B,B,A
Use a Tide to Go Pen,Rub the dispersed solution into the stain.,Wait and reapply as necessary.,A,A,A,A,A
Build Plyo Boxes,Purchase an 8 by 4 feet (2.4 by 1.2 m) piece of plywood.,Measure and mark your plywood pieces.,A,A,B,B,A
Draw an Umbrella,Write the date and you are finished!,"Color in the handle dark green, and the metal rod black.",B,B,B,B,B
Make a Hair Stick from a Knitting Needle,Measure and mark on the knitting needle the point where you need to cut.,Cut the knitting needle to length with a hacksaw.,A,A,A,A,A
Make Decorative Garden Mushrooms,Spray paint the outside of the pot white or off-white.,Choose a terracotta pot and drain plate.,B,A,B,A,B
Use a Foam Roller on Your Legs,Roll back and forth from your thigh to your hip.,Repeat the process on your left side.,A,A,A,A,A
Make Jiggly Slime,Refrigerate your jiggly slime in a Ziploc bag or throw it away.,Mix 1 cup (240 mL) of hot water into your slime.,B,B,C,A,A
Learn a Dance from a Video,"When you have a section of moves worked out, do them together.",Start learning the moves.,B,B,A,B,B
Eat a Watermelon,Rinse the outside.,Pick a ripe one.,B,B,A,B,B
Calculate Molarity,Know the basic formula for calculating molarity.,Examine the problem.,A,B,A,A,A
Do a One Armed Push Up,Lower yourself.,Push upward.,A,A,A,A,A
Make Beetroot Juice,Set up your juicers collection and pulp conta,Feed the chunks through the juicer.,A,A,A,A,A
Buy a Fish for a Child,Feed your fish carefully.,Transfer from the bag to your tank.,B,A,B,A,A
Get a Rebate,Fill out the form for the mail-in rebate.,Read the rebate form carefully.,B,B,B,A,A
Make a Sleeveless Shirt,"Cut into the side of the shirt, cutting upward at a slight angle.","Hem the edges, if you would like to keep the shirt from fraying.",A,A,A,A,A
Open Nail Glue,Insert a pin into the center of the nail glue tip or where indicated.,Replace the lid when youre not using the nail,A,A,A,A,A
Spin a Drumstick,Hook your pinky finger.,Transfer the stick from your pinky to your pointer finger.,A,A,A,A,A
Clean Suede Shoes,Stick paper and shoe trees in your shoes.,Let the shoes dry at least overnight.,A,A,B,B,A
Build a Bean Bag Game,Use a strong cloth for the beanbags.,"Sew around the square or rectangle, leaving enough room to pour in the beans.",A,A,A,A,A
Calculate Percent Change,Subtract the original value from the new value.,Divide your answer by the original value.,A,A,A,B,A
Make a String Covered Jar,Follow the first two steps of the previous method.,Finish off by cutting the last section's string off when it can't be wound into place on the side of the jar any further.,A,A,B,B,A
Produce Those Tricky Lead Synth Patterns Heard in Trance Music,"Get a sound generator, basically any software or hardware synthesis that includes a sequencer will do (to generate a synthesis pattern).",Realize that lead synthesis patterns in trance music can be just as important as lead guitar riffs in rock music.,B,A,A,A,A
Carve Faces in Wood,Clamp the wood in place or hold it in place.,Strip the wood with a drawknife if your wood has outer bark.,A,A,A,A,A
Make a Book Safe,Remove loose pages and continue cutting.,Clean up the edges.,A,A,B,T,A
Make a Felt Rosebud Pincushion,Gather the edge of the large felt circle using 8 to 4 inch (0.3 to 0.6 c,"Coil the petal strip, fastening it along the bottom edge with stitches in matching thread color.",A,A,A,A,A
Rationalize the Denominator,Examine the fraction.,Rewrite the denominator in terms of exponents.,A,A,A,A,A
Block a Number from Texting You,Tap on the Plus sign.,Tap on Settings.,B,A,B,A,A
Clean a Cartridge Type Swimming Pool Filter,Seal the acid container when you are finished with it.,Spray the acid-cleaned filters with a hose.,B,A,A,B,A
Unicycle,Transfer your weight to the foot on the lower pedal.,Position the pedals in the same vertical position you used to mount the unicycle.,B,A,A,A,A
Level Basement Floor,Use a squeegee or trowel to spread around the self-leveling agent.,Pour the self-leveling agent over the floor.,B,A,T,A,A
Get a Valet Parking Job,Follow up.,Show enthusiasm.,B,A,A,A,A
Clean a Carboy,Combine bleach and water.,Let soak overnight.,A,A,A,B,A
Silently Call Emergency Services on iPhone or Apple Watch,Make sure the siren is turned off.,Hold the power button and one of the volume buttons at the same time.,A,B,A,A,A
Play Shuffleboard,Keep playing.,Score the disks.,B,B,A,A,A
Water Color with Distress Markers,Secure your paper.,Color on a nonstick sheet or acrylic plate.,A,A,A,A,A
Cut an OfftheShoulder A,Choose a basic tank top that fits you well to use as a template.,Lay the tank top flat and fold the top 3 to 6 inches (7.6 to 15.2 cm) over.,A,A,A,A,A
Use Spotify,Find music for your playlist.,Add the music to your playlist.,A,A,A,A,A
Make a Chiptune,Come up with a melody for your chiptune.,Listen to other chiptunes to get an idea of what they're like.,B,A,A,A,A
Dry Glitter Glue Fast,Plug in a hairdryer and set it to low or medium heat.,Hold your hairdryer about ten inches from the surface of your glitter glue.,A,A,A,B,A
Automatically Fill Your Decorative Garden Fountain,Fill and re-energize the fountain.,Run the tube from the bottom of the fountain to the bottom of the bucket (fitting obtained from hardware store).,B,A,B,A,A
Play Quarters,Drink the bug chug.,Begin the game.,B,B,A,A,A
Make an Origami Soccer Ball,Finished!,Surround each black pentagon with white pieces to create the ball.,B,B,A,B,A
Change the Name on a Driver's License Due to Marriage,Submit the completed application.,Complete the application.,B,B,B,B,B
Use Vanish,Rinse off the fabric in a sink.,Let the Vanish soak in for 5 minutes.,B,A,A,B,A
Measure the pH of Water,Collect a sample of the water in a clean container.,Dip a test strip into your sample.,A,A,A,A,A
Make a Papier Mch,Make a base layer of paper over your base.,Allow the volcano to dry between each step.,A,A,A,A,A
Make Sand Candles,Gently brush the excess sand off using a soft-bristled brush.,Remove the candle from the sand carefully the next day.,B,A,A,A,A
Become an Au Pair in the US,Create a profile with your agency representative.,Interview with potential families to get to know them.,A,A,A,A,A
Create an Amazon Storefront,Set the permissions for provided files/directories.,Open your FTP client software (or use the control panel provided by your web host) and upload the Associate-O-Matic files to your server (web host).,B,A,A,A,A
Play Sparkle (Spelling Game),Continue in the same way until only 1 player is left.,Prompt the next person in the circle to give the first letter.,B,A,B,B,B
Cover Wires,"Mount the filled track from the source of the wire to the wall, continuing either to the floor or to the ceiling.",Thread the wire into the open track in the wire conduit.,B,A,B,B,B
Clean Grout with Baking Soda,Wipe up the mess.,Mop up the floor.,A,A,A,A,A
Iron a Dress Shirt,Iron the collar.,Iron the rest of the shirt.,A,A,A,A,A
Cook Turtle,Fill a large pot with about 5 inches (13 cm) of oil and heat it to 350 F (177 ,Dip the meat in the egg wash and then the coating mix until it is covered.,A,B,A,A,A
Make Soap Last Longer,Let the soap cure.,Cut the bar of soap into smaller pieces.,A,B,B,B,B
Make a Mimosa Cocktail,"Add a splash of Triple Sec liqueur, if desired.",Pour equal parts of sparkling wine and orange juice into a champagne flute.,B,B,B,B,B
Change Your Name in Rhode Island,Complete the correct form.,Have the petition notarized.,A,B,A,B,A
Hang a Kayak in Your Garage,Mark the position of the hangers on the wall in pencil.,Measure the length of the kayak before installing the hangers.,B,A,T,A,A
Buy a Taco Bell Franchise,Wait for approval and for the restaurant to be built.,Apply for the franchise.,B,B,B,A,B
"Find Mode, Median, Mean and Range",Add the numbers together.,Divide the total by the amount of numbers in the set.,A,B,A,A,A
Pack Glass Bottles for Shipping,Seal each bottle in a plastic bag if they contain liquid.,Pack the smaller box inside the larger one.,A,B,A,A,A
Clean a Dryer Drum,Harden the gum with ice.,Unplug the dryer.,B,A,B,B,A
Take Care of Baby Water Turtles,Place a water heater in the tank.,Get a large aquarium.,B,B,B,A,B
Jailbreak iOS Untethered,Close Evasi0n on your computer.,Tap on the Evasi0n icon when prompted to do so by the jailbreaki,B,B,B,A,A
Use the wikiHow Editor's Toolbar,Find wikiHow Toolbar in the list.,Select it.,A,A,A,A,A
Style Waist Length Hair,Gather your hair into a ponytail at the nape of your neck.,Pull your ponytail through the center of your hair between your scalp and the rubber band.,A,A,A,A,A
Make an Invisible Mask for Video Cameras,Mark and cut the hat.,Attach the LEDs.,A,A,A,A,A
Vote Online,Confirm whether you are eligible to return an absentee ballot by email or fax.,Request the ballot.,A,B,A,A,B
Make a Cup of Tea Using the Microwave,"Now remove the napkin, book, or bowl.","Cover the mug with a napkin, book, or bowl so the tea can steep.",B,B,A,B,B
Make a Simple Paper Airplane,Unfold the paper and bend the top corners toward the crease.,Fold a letter size sheet of paper in half.,B,A,A,A,A
Write a Payment Reminder,Conclude your letter.,Mail the letter.,A,A,A,B,A
Shotgun a Beer,Drink the beer as fast as you can.,Pop the tab open with your other hand.,B,A,B,B,A
Tune a Dulcimer,"Tune the bass string to the D below Middle C. Pluck the bass string without pressing it and listen to the sound it makes, then play the correct D note on a piano, guitar, or pitch pipe.",Adjust the middle string based on the bass string.,A,A,A,A,A
Calculate Kinetic Energy,Plug in the known variables.,Write the equation.,B,B,B,A,A
Set up a Rent to Own Contract,Sign the document.,Negotiate necessary changes.,B,B,B,A,B
Read Binary,Find a binary number you want to convert.,Multiply each binary digit by two to the power of its place number.,A,B,A,A,A
Wrap Windows with Aluminum,Add at least 3 inches (7.6 cm) to your measurements.,Measure each window.,B,B,A,A,A
Tell Time Without a Clock,Line up your hand with the horizon.,Stack one hand below the other towards the horizon.,A,B,T,A,A
Become an OSHA Inspector,Apply for open OSHA inspector vacancies with your cover letter and resume.,Pick 3-4 work experiences to talk about during your job interview.,A,A,A,B,A
Count Money,Organize by size and value.,Calculate the value of each stack.,A,A,A,A,A
Make Light Bend for Science Experiments,Cover the bottom of a rectangular fish tank with 2 lb (0.91 kg) of sugar.,Pour 1 2 US gal (5.7 L) of water into the,A,A,A,A,A
Make a Walnut Mouse,Place the cardboard template on a scrap of fabric.,To attach the fabric to the base of the mouse:,A,A,A,A,A
Make Rip Away Pants,"Find or buy a pair of pants that you don't mind cutting, or that you would like to be able to remove quickly.",Cut the threaded seam along the outside of each leg.,A,A,A,A,A
Clean Pewter,Rinse.,Dry thoroughly.,A,A,A,B,A
Locate a Leak in an Air Mattress,Apply pressure to the mattress with your hand and listen for leaks.,Mark the leak with a pen or piece of tape.,A,A,A,A,A
Cross Hatch,Go over the drawing in ink.,Erase the pencil marks once the ink has dried.,A,A,A,A,A
Make Creamy Chai Tea,Boil water.,Add the tea powder/ bag.,A,A,A,B,A
Drink Bacardi,"Choose one of Bacardi's full-bodied rums, such as the Reserva Limitada.",Pour about 1 ounce of Bacardi rum into an old-fashioned or rocks,A,A,A,A,B
Clean Your Rabbit Without Bathing It,Wipe the bunny on the soiled area.,Put your rabbit in a comfortable position.,B,A,A,A,B
Remove Grass Stains from Clothing,"Apply, massage and let sit.",Mix your DIY-remover.,B,A,B,A,B
Score Badminton,Stop the game when 1 player reaches 30 points.,Defeat your opponent 2-3 times to win a badminton match.,A,A,A,A,A
Buy a House at Auction,Register and get your bidding paddle.,Raise your paddle to bid on the property you want to purchase.,A,A,A,A,A
Hem a Prom Dress,Attach a blind hem foot to your machine.,Fold the hem under as you place it on the machine.,A,B,A,B,A
Pass the California State Bar Exam Without Law School,Take the FYLSX.,Apply to take the FYLSX.,B,B,B,B,A
Start a Lanyard,Drape one end over the other and loop it underneath through the center of the bight.,Make a bight with two free ends.,B,A,B,B,A
Convert Grams to Moles,Set up the conversion formula.,Plug your numbers into the formula.,A,A,A,A,A
Write an Email of Interest for a Job,Close with your contact information and a 'thank you.',Explain your qualifications and experience in the body of the letter.,B,B,B,A,B
Get an Egg Into a Bottle,Watch the egg go into the bottle.,Put the candles in an upside-down bottle.,B,A,B,A,A
Watch Movies Online With Netflix,Sign into the activation site with your Netflix account.,Type in the code displayed on your TV.,A,A,A,A,A
Sharpen Crayon Points,Purchase a manual crayon sharpener.,Sharpen the crayon the same way you would sharpen a pencil in a manual sharpener.,A,A,A,A,A
Make an Ancient Letter,Use a pan that you would make brownies in.,Take strong black tea.,A,A,B,A,A
Make Rhubarb Cordial,Add the mint leaves for decoration.,Remove from the heat.,B,B,A,A,B
Make a Paper Tank,Secure the gun.,Add the gun.,B,A,A,A,A
Make a Toilet Paper Roll Caterpillar,Fold and glue the antennae onto the top of the caterpillar's head.,Pick out some construction paper and cut out two strips to use as antennae.,B,A,B,B,A
Eat Edamame,Add 3 cups of thawed frozen edamame to the mixture and cook for 5 minutes.,Stir in the rice and 3 diced scallions and cook for 1 more minute.,A,A,A,A,A
Recycle Coffee Grounds From Your Coffee Maker,Collect coffee grounds for distributing onto the ground outdoors.,Pour the coffee grounds over your outdoor soil.,A,A,A,A,A
Measure Length,"Line up the ""0"" mark with one end.",Extend the measuring tool over the length.,A,A,A,A,A
Use a Boresnake,Pull the bore snake all the way through the barrel.,Repeat the process if necessary.,A,A,A,A,A
Heat Water Using Solar Energy,Run the water through the hose slowly and it will come out warm.,Finished.,A,A,A,A,A
Distinguish Between Acids and Bases,"Dip one end of the blue litmus paper into the solution, then quickly remove it.",Buy red and blue litmus paper.,B,A,A,A,A
Make Drums for Kids,Attach fabric to the top of the coffee tin.,Replace the lid.,A,B,A,A,A
Wash a Pillow Pet,Hang your Pillow Pet up to dry.,Let your Pillow Pet air dry for several hours.,A,B,A,A,A
Buy Books for Your Kindle,"When prompted, confirm your purchase.",Tap Buy.,B,B,A,T,B
Wire an Electric Cooker,Have a certified electrician check your work for mistakes.,Replace the terminal screws to secure the power wires.,B,B,B,A,A
Share Your Pictures on SmugMug,Click Try Us O,"Enter your Email, Password, and desired Site Name.",A,B,A,B,A
Split Hardwood Firewood,Tap the wedge into the grain with a sledge.,Have several wedges on hand.,B,A,A,B,B
Make Your Sessions Private on Spotify,Launch Spotify.,Sign in.,A,A,A,A,A
Make a Bow Ring Out of Clay,Add the varnish using clear nail polish You might want to put something beneath it to avoid mess.,Add some designs.,B,A,B,A,A
Talk to an Old Friend over Instant Messaging,Have a look at the persons pr,Wait patiently for an add.,A,A,A,A,A
Build a Model Ship,Buy the necessary tools.,Look for a model to purchase.,B,B,A,A,A
Make a Rope Harness,Tie another bowline around your other leg.,Tie a bowline knot to secure the first leg.,B,B,B,B,B
Make Money with 500px,Click My Settings.,Click the LICENSING tab.,A,A,A,A,A
Paint Louvered Shutters,Put the shutters on a drop cloth on a flat surface.,Take down the shutters from your home.,B,A,B,B,B
Buy Bird Baths,Rent a truck and move the bird bath into it.,Look at the bird baths available at a garden center.,B,A,B,A,B
Level the Ground for Pavers,Slope your strings by .25 inches (0.64 cm) for every 1 foot (30 cm) of land.,Use string to mark the finished level for your pavers.,B,A,A,A,A
Make Snowball Punch,Scoop and add the ice cream snowballs.,Garnish and serve the blue snowball punch.,A,A,A,A,A
Bottle Feed a Newborn,Firmly pat or rub their back.,Resume feeding after a couple minutes even if your baby doesnt,A,A,A,A,A
Create an Origami Puppy Finger Puppet,Fold the top layer up (forms the ears).,Fold the next top layer up (looks like a mouth).,A,A,A,A,A
Check Your Bank Balance,Create an account using your account information if you don't have one.,Go to your banks website on your computer or ,B,A,A,A,A
Square Your Duct Tape Sheet,Place your duct tape sheet on a flat surface.,Attach the paper firmly to the duct tape sheet.,A,A,A,A,A
Remove Ads from Kindle Fire HD,Click the Edit button next to ,Click Unsubscribe now with one cli,A,B,A,A,A
Make Easter Bunny Chow Mix,Stir the chocolate.,Repeat this pattern until the chocolate is fully melted.,A,A,A,B,A
Make Cinnamon Hot Chocolate,Place all of the ingredients into a large mixing bowl.,Whisk together to combine.,A,A,A,A,A
Turn an Old Book Into a Clock,Place the book clock on display.,Snap the clock hands onto the clock motor rod on the front cover.,B,B,B,B,B
Pack Your Fragile Items,"Pack some items, like cups or mugs, in a cell pack.","After filling a box, gently pack tissue or bubble wrap into any open spaces.",A,A,A,A,A
Obtain a Copy of Your Birth Certificate in Illinois,Fill out the required forms.,Gather the required information.,B,A,B,B,B
Clean Baby Bottles That Have a Milk Odor,"If the odor remains, soak the bottle in the water with baking soda.",Rinse the bottle and smell it.,B,A,A,B,A
Identify Estate Assets That Generate Income,Gather the required documents.,Fill out the required documents.,A,A,A,A,A
"Go ""Beer Fishing""","Before he grasps it, tug on the line.","Meanwhile, your guests are enjoying this from the balcony and going nuts with laughter.",A,A,A,A,A
Remove a Vertical Sliding Window,Pry the removal clips up with a flathead screwdriver.,Lift up the vertical sash until it disengages from its tracks.,A,A,B,A,A
Make Easy Pants,Measure the waistline for your drawstring/waistband.,Use a buttonhole stitch.,A,A,A,A,A
Make Homemade Aloe Vera Facials,Prepare a simple scrub.,Massage the scrub onto your face for 1 to 2 minutes.,A,A,A,A,A
Paint a Fireplace,Use flat brushes to paint your tile fireplace with enamel paint.,Paint the tile with a coat of oil-based primer.,B,B,B,A,A
Test Blood to Make Sure It's Real,Drip hydrogen peroxide on the liquid.,Prepare your blood sample.,B,A,B,B,B
Make Glow in the Dark Slime,Add the craft paint.,Finished!,A,A,A,A,A
Keep a Wild Caught Toad As a Pet,Feed your toad 1 or 2 insects each day.,Purchase live insects to feed your toad.,B,A,A,B,B
Report Fraud on PayPal,Provide a description of your problem.,Escalate your dispute to a claim.,A,A,A,A,A
Measure Heel Height,Measure from the top of the heel cap.,Get a tape measure or ruler.,B,B,B,A,B
Make a Shower Pan,Apply an 8 in (0.32 cm) layer of thinset on the showe,Wipe the mortar with a wet cloth to clean up any dust.,B,B,A,A,A
Make Unicorn Ice Cream,Divide the whipping cream mixture into 4-5 bowls.,Add the sweetened condensed milk and vanilla.,B,A,A,A,A
